id,banda,nome,album,genero,duracao
0,Guns 'n' Roses,Welcome to the Jungle,Appetite for Destruction,Rock,4:39
1,Guns 'n' Roses,Sweet Child o' Mine,Appetite for Destruction,Rock,5:02
2,Guns 'n' Roses,Patience,Appetite for Destruction,Rock,5:56
3,Metallica,Nothing Else Matters,The Black Album,Rock,6:25
4,Metallica,One,...And Justice for All,Rock,7:24
5,Metallica,The Unforgiven,The Black Album,Rock,6:35
6,Hungria Hip-Hop,Beijo com Trap,Single,Rap,3:08
7,Hungria Hip-Hop,Made in Favela,Single,Rap,3:23
8,Hungria Hip-Hop,Provavelmente,Single,Rap,4:05
9,Costa Gold,N.A.D.A.B.O.M.2,Single,Rap,4:15
10,Costa Gold,155,.155,Rap,3:42
11,Costa Gold,Dás Arábia,.155,Rap,3:17
